Symbol,Date,Action,Units,Rate
OGDC,8-Mar-21,Buy,100,84.62
HUBC,11-Aug-21,Buy,100,76.2189
OGDC,31-Aug-21,Buy,200,92.855
HUBC,11-Sep-21,Buy,200,74.22565
EFERT,13-Sep-21,Buy,500,74.08532
OGDC,16-Sep-21,Buy,766,83.9944
OGDC,20-Sep-21,Sell,766,85.455
EFERT,21-Sep-21,Sell,450,72.7864
EFERT,29-Sep-21,Buy,50,72.0118
EFERT,1-Oct-21,Buy,50,70.309
MTL,21-Oct-21,Buy,50,895.5554
EFERT,25-Oct-21,Sell,150,69.83146667
MTL,3-Nov-21,Buy,50,875.38
HUBC,22-Nov-21,Buy,200,73.9852
HUBC,22-Nov-21,Buy,100,73.04
HUBC,1-Dec-21,Sell,100,74.753
MTL,6-Dec-21,Buy,20,881.1
MTL,8-Dec-21,Sell,20,885.387
OGDC,13-Dec-21,Buy,260,85.072
HUBC,16-Dec-21,Buy,200,72.062
MTL,16-Dec-21,Buy,15,871.25
MTL,16-Dec-21,Sell,15,870.795
OGDC,20-Dec-21,Sell,260,85.69
EFERT,22-Dec-21,Buy,100,75.157
OGDC,23-Dec-21,Buy,200,87.047
HUBC,30-Dec-21,Buy,200,71.241
OGDC,30-Dec-21,Buy,200,85.3913
MTL,3-Jan-22,Buy,8,863.471
OGDC,3-Jan-22,Sell,200,86.853
EFERT,3-Jan-22,Sell,100,76.021
HUBC,4-Jan-22,Sell,200,72.467
MTL,4-Jan-22,Sell,8,873.018
OGDC,4-Jan-22,Sell,200,87.851
HUBC,5-Jan-22,Buy,200,73.214
MTL,5-Jan-22,Sell,50,885.996
OGDC,5-Jan-22,Buy,200,88.054
OGDC,5-Jan-22,Buy,200,88.054
HUBC,6-Jan-22,Sell,200,75.871
HUBC,7-Jan-22,Sell,200,78.367
HUBC,10-Jan-22,Sell,100,80
HUBC,10-Jan-22,Buy,200,79.565
HUBC,13-Jan-22,Buy,200,80.877
OGDC,18-Jan-22,Sell,200,88.999
