Symbol,Price,MA50-D,MA200-D,RSI-D,MACD-H-D,Signal-D,Volume-D,MA50-W,MA200-W,RSI-W,MACD-H-W,Signal-W,Volume-W,52W-High,52W-Low,Trend,Date
ACPL,223.9075,229.37,268.44,44.08,-0.77,-2.17,22788,269.84,163.37,38.45,-0.46,-12.45,703118,325.01,205,Downtrend,2026-07-03
AHCL,16.3275,14.89,15.52,69.38,0.05,0.4,2508296,15.15,7.57,58.33,0.2,-0.02,16826710,19.33,10.76,Sideways,2026-07-03
APL,553.4275,557.57,554.19,59.33,2.37,-4.84,293919,550.78,422.74,50.52,-2.52,1.2,173926,646,477.6,Sideways,2026-07-03
ATIL,75.4275,73.07,77.31,61.47,-0.02,0.59,4716,77.92,52.05,55.26,0.59,-0.75,48627,111.8,59.94,Sideways,2026-07-03
ATLH,1695.6425,1746.79,1588.92,30.2,-6.45,-6.17,31151,1544.53,783.57,53.24,-15.21,69.57,66130,1931,1030,Sideways,2026-07-03
BOP,36.805,34.99,34.08,65.51,0.11,0.47,16134088,31.53,12.55,59.63,0.16,1.08,172411409,44.17,10.54,Uptrend,2026-07-03
BWCL,503.96,462.18,514.06,80.86,3.57,7.14,54327,515.65,300.42,59.95,7.66,-11.84,146948,687.61,386,Sideways,2026-07-03
DLL,57.2425,55.01,53.66,54.31,-0.14,0.38,320650,50.97,29.84,56.09,-0.28,1.34,580617,76.8,24.19,Uptrend,2026-07-03
DOL,33.065,30.84,32.4,66.59,0.03,0.32,447537,32.78,26.13,57.33,0.49,-0.26,1283687,41,25.36,Sideways,2026-07-03
DYNO,347.0075,322.67,298.82,64.52,-0.47,6.96,2175,299.33,214.41,70.17,4.4,10.48,57158,366.9,254.3,Uptrend,2026-07-03
EFERT,198.26,200.55,215.04,43.03,-0.18,-0.27,2553789,213.59,155.36,40.31,-0.21,-4.35,5111398,263.3,187,Downtrend,2026-07-03
EFUL,157.125,150.72,156,55.21,-0.17,2.13,1515,156.12,174.05,54.4,1.38,-1.41,11037,182,136.1,Sideways,2026-07-03
EPQL,25.64,24.34,27.98,74.35,0.03,0.24,932224,28.08,27.14,51.69,0.38,-1.21,3546160,34.98,22.3,Sideways,2026-07-03
FCCL,58.585,52.71,53.15,63.81,0.04,1.8,2726186,53.06,30.36,61.72,1.16,0.36,41209045,62.84,36.26,Sideways,2026-07-03
FFC,574.82,541.26,537.09,67.3,0.21,8.22,1340806,525.79,271.94,61.07,3.42,7.32,7149405,685,388.68,Uptrend,2026-07-03
HMB,117.6875,116.93,116.45,56.42,0.22,-0.08,806801,116.26,72.81,55.02,-0.05,0.61,2162472,132,98.57,Uptrend,2026-07-03
HUBC,233.24,221.21,218.55,65.45,0.46,4.14,2328480,211.82,133.87,59.82,1.22,4.18,16827937,249.99,138.68,Uptrend,2026-07-03
INDU,2055.5025,2036.02,2042.99,53.83,-1.97,11.48,56691,2063.12,1580.74,51.44,10.73,-4.39,89899,2430,1695,Sideways,2026-07-03
JGICL,83.375,74.94,77.56,73.84,0.36,2.23,49027,77.64,48.7,63.87,1.4,-0.11,128061,95.5,59.26,Sideways,2026-07-03
KAPCO,28.4425,27.73,31.15,63.47,0.03,0.19,763334,31.59,29.93,42.58,0.29,-1.32,13155890,41.04,24.01,Sideways,2026-07-03
LOTCHEM,29.1225,27.93,26.84,60.42,-0.06,0.31,21059671,26.29,23.58,64.64,0.34,0.67,118708739,34.3,18.41,Uptrend,2026-07-03
LSEVL,11.5225,9.57,8,79.85,0.09,0.45,1483415,8.6,,77.21,0.4,0.42,32019851,15.64,5.39,Uptrend,2026-07-03
MTL,303.1675,275.85,265.76,55.34,4.31,3.82,325812,269.21,251.65,57.99,4.29,2.73,1432144,318.5,150.25,Uptrend,2026-07-03
NBP,207.4475,194,217.42,63.85,0.78,3.34,4001532,207.37,85.28,53.81,0.72,-3.73,38903285,287.8,109.3,Sideways,2026-07-03
OGDC,342.9575,324.51,290.89,68,0.72,4.62,9309173,289,172.48,66.19,1.96,13.46,21230093,352,219.06,Uptrend,2026-07-03
OLPL,49.775,49.34,49.17,55.65,0,0.12,430,48.56,31.92,56.44,0.01,0.57,247114,59.45,37.7,Uptrend,2026-07-03
POL,685.9125,672,648.64,53.32,-1.84,7.61,112344,650.85,523.36,63.22,2.85,11.74,1100953,744.95,566.39,Uptrend,2026-07-03
PPL,247.26,232.45,220.79,63.2,0.49,4.29,7703756,216.61,137.16,58.54,1.39,5.47,25412550,284.6,161.13,Uptrend,2026-07-03
PSO,351.52,359.81,417.41,47.41,-0.46,-1.71,2818921,413.62,256.77,39.26,0.86,-19.04,17181786,506.75,320.11,Downtrend,2026-07-03
SNGP,118.9475,104.6,112.37,65.63,0.5,5.11,1508316,113.35,78.36,57.93,3.18,-2.05,16427497,142.6,83.2,Sideways,2026-07-03
