Symbol,Price,MA50-D,MA200-D,RSI-D,MACD-H-D,Signal-D,Volume-D,MA50-W,MA200-W,RSI-W,MACD-H-W,Signal-W,Volume-W,52W-High,52W-Low
OGDC,314.04,325.54,295.56,41.05,-0.8741,-2.9654,1187278,293.15,176.48,51.44,-2.6919,12.3916,11917240,352,238.2
FFC,565.38,553.68,545.89,58.6,1.4156,-1.3158,1105927,532.59,279.41,55.4,0.2387,7.9508,10527339,685,425
LUCK,440.91,448.97,444.46,45.09,-1.542,-1.8774,769454,447.23,241.98,50.32,0.5784,5.3022,12322377,529.5,339
MCB,408.67,408.06,391.02,50.99,0.0992,-0.787,176177,386.02,244.49,54.38,-1.2369,8.5709,722686,452,317.63
NBP,200.29,198.03,217.8,48.02,-0.8195,1.0144,1813760,211.99,88.24,48.96,0.6005,-3.2708,12535149,287.8,126
PAKT,1449.89,1404.04,1461.47,52.64,-3.3565,13.9805,7431,1466.31,1102.4,54.16,14.6567,-12.8639,38632,1720,1135
FATIMA,155.03,151.85,147.81,49.14,-0.7213,0.8001,270058,145.1,74.7,54.66,0.9991,3.1824,2063475,192.8,112.52
HUBC,217.12,221.53,218.83,44,-0.3772,-1.3435,942884,216.21,136.37,49.72,-1.0162,3.73,13872236,249.99,152
EFERT,188.24,196.68,211.73,40.07,-0.0727,-2.4829,528437,212.22,157.19,36.98,-0.9806,-5.0552,5981699,263.3,180.15
SCBPL,63.48,64.98,66.02,45.01,-0.0907,-0.3349,7903,67.12,47.81,47.44,0.1746,-0.6556,47435,85.99,52.01
ATLH,1638.2,1712.92,1618.23,33.23,1.0324,-23.1588,2665,1575.38,806.23,47.84,-24.9383,50.3996,20774,1931,1105
ABL,177.45,181.16,183.2,44.06,-0.2871,-1.1569,28337,182.29,119.34,46.7,-0.5575,0.4505,138443,215,152.05
POL,686.98,680.26,645.92,56.48,0.5658,-0.1543,163661,653.07,528.29,58.8,-0.1794,12.2121,531546,744.95,584.76
