Symbol,Price,MA50-D,MA200-D,RSI-D,MACD-H-D,Signal-D,Volume-D,MA50-W,MA200-W,RSI-W,MACD-H-W,Signal-W,Volume-W,52W-High,52W-Low
ABL,175.16,181.68,183.90,34.22,-1.12,-0.4,28186,182.75,118.64,45.42,-0.07,0.6,337455,219.80,152.05
BAFL,55.80,58.78,57.33,37.16,-0.33,-0.49,2654624,56.30,34.18,47.44,-0.39,1.1,7001845,68.5,30.38
BOP,32.59,34.73,34.75,35.98,-0.31,-0.18,20591638,32.32,12.84,48.89,-0.14,1.06,95448863,44.17,12.82
EFERT,187.23,197.90,213.07,27.10,-0.63,-2.2,517485,212.77,156.48,35.02,-0.73,-4.64,2726133,263.3,185.11
ENGROH,267.80,273.94,257.33,40.27,-1.75,0.31,2335519,253.30,167.18,52.62,-1.36,8.79,7906190,302.5,200.48
FCL,23.64,24.06,23.82,43.49,-0.05,-0.05,769438,23.78,,50.56,0.13,0.03,3173359,28.56,19.65
FFC,534.24,550.33,544.52,34.91,-3.43,-0.25,704777,529.30,276.40,50.65,0.61,8.03,4217791,685,425
HBL,293.17,294.15,303.98,42.26,-2.09,2.95,962250,297.07,161.44,51.70,1.33,1.40,5392030,369.99,214
HUBC,213.89,221.05,218.95,35.95,-1.61,-0.67,2604852,214.35,135.40,49.10,-0.3,4.23,10534315,249.99,144
ISL,80.39,84.28,92.02,37.33,-1.41,0.02,169999,95.56,73.40,45.05,1.48,-2.86,596245,135,65.45
KAPCO,27.54,27.74,30.58,41.03,-0.06,-0.02,525165,31.34,29.89,39.41,0.25,-1.19,2460438,41.04,24.01
LUCK,433.74,447.66,445.37,38.39,-4.1,0.61,2056126,445.48,23967,50.53,2.93,5.15,4293251,529.5,339
MCB,401.26,407.27,390.30,42.96,-1.47,-0.39,295127,384.56,242.41,51.85,-1.16,9.11,1461488,452,317.63
MEBL,537.73,513.90,473.06,52.90,-2.92,9.87,717473,463,254.74,67.96,3.85,20.63,4082982,582,349.89
MTL,282.53,284.17,266.74,47.08,-2.06,2.72,114631,269.39,253,52.73,2.63,4.32,572057,318.5,150.25
NBP,194.39,196.29,218.30,41.28,-1.78,2.16,4027908,210.25,87.03,47.67,0.75,-3.3,11179823,287.8,119.01
OGDC,311.46,326.69,294.55,31.11,-2.78,-1.3,2732279,291.64,174.90,51.84,-1,13.38,14215379,352,222.05
POL,671.33,677.95,647.05,37.92,-1.6,0.18,130346,652.23,526.50,58,0.55,12.30,568901,744.95,584.76
PPL,211.64,232.80,223.02,27.26,-2.85,-3.02,3154181,218.23,138.74,44.65,-1.39,5.16,18110970,284.6,164.50
SYS,132.87,147.46,149.94,25.55,-0.92,-2.89,1132846,148.24,107.22,39.81,-1.21,0.79,7327918,174.4,105.98
UBL,448.60,433.81,415.10,45.60,-4.73,11.76,1869183,408.85,194.86,59.58,7.10,9.91,12636100,517,293.25
