Symbol,Date,Action,Units,Rate
OGDC,20-Aug-21,100,100,84.62
HUBC,11-Aug-21,100,100,76.22
OGDC,31-Aug-21,200,200,92.86
HUBC,11-Sep-21,200,200,74.23
EFERT,13-Sep-21,500,500,74.09
OGDC,16-Sep-21,766,766,83.99
OGDC,20-Sep-21,766,-766,85.46
EFERT,21-Sep-21,450,-450,72.79
EFERT,29-Sep-21,50,50,72.01
EFERT,1-Oct-21,50,50,70.31
MTL,21-Oct-21,50,50,895.56
EFERT,25-Oct-21,150,-150,69.83
MTL,3-Nov-21,50,50,875.38
HUBC,22-Nov-21,200,200,73.99
HUBC,22-Nov-21,100,100,73.04
HUBC,1-Dec-21,100,-100,74.75
MTL,6-Dec-21,20,20,881.10
MTL,8-Dec-21,20,-20,885.39
OGDC,13-Dec-21,260,260,85.07
HUBC,16-Dec-21,200,200,72.06
MTL,16-Dec-21,15,15,871.25
MTL,16-Dec-21,15,-15,870.80
OGDC,20-Dec-21,260,-260,85.69
EFERT,22-Dec-21,100,100,75.16
OGDC,23-Dec-21,200,200,87.05
HUBC,30-Dec-21,200,200,71.24
OGDC,30-Dec-21,200,200,85.39
MTL,3-Jan-22,8,8,863.47
OGDC,3-Jan-22,200,-200,86.85
EFERT,3-Jan-22,100,-100,76.02
HUBC,4-Jan-22,200,-200,72.47
MTL,4-Jan-22,8,-8,873.02
OGDC,4-Jan-22,200,-200,87.85
HUBC,5-Jan-22,200,200,73.21
MTL,5-Jan-22,50,-50,886.00
OGDC,5-Jan-22,200,200,88.05
OGDC,5-Jan-22,200,200,88.05
HUBC,6-Jan-22,200,-200,75.87
HUBC,7-Jan-22,200,-200,78.37
HUBC,10-Jan-22,100,-100,80.00
HUBC,10-Jan-22,200,200,79.57
HUBC,13-Jan-22,200,200,80.88
OGDC,18-Jan-22,200,-200,89.00
MTL,19-Jan-22,50,-50,883.61
OGDC,19-Jan-22,200,-200,89.61
HUBC,26-Jan-22,400,-400,80.15
OGDC,26-Jan-22,200,200,87.26
HUBC,28-Jan-22,400,-400,81.78
OGDC,28-Jan-22,200,200,86.77
OGDC,2-Feb-22,200,-200,89.09
OGDC,7-Feb-22,200,-200,90.48
OGDC,8-Feb-22,200,200,91.41
OGDC,9-Feb-22,200,-200,92.84
